#period	period time	calc time
1	2991	1489
2	2987	1498
3	3246	2752
4	3250	1751
5	3497	1511
6	3011	1490
7	3742	1497
8	3254	1757
9	3245	1751
10	3249	2497
11	3246	1748
12	3247	1999
13	2997	1505
14	4496	1746
15	3245	1753
16	3251	2000
17	3248	2504
18	3248	1999
19	2997	1753
20	3499	1999
21	4247	2000
22	3247	1750
23	3248	1750
24	3498	2749
25	3248	1749
26	3497	1999
27	2998	1499
28	4237	1759
29	3259	1748
30	3246	1499
31	3497	2500
32	3248	1749
33	3249	1498
34	3247	1749
35	4246	1751
36	3239	2002
37	3509	1997
38	3244	2501
39	3248	1496
40	3499	1749
41	2995	1501
42	4499	1750
43	2999	1499
44	3497	1997
45	3499	2497
46	2998	1748
47	3495	2000
48	3248	1753
49	3997	1750
50	2999	1999
51	3248	1749
52	3249	2499
53	3245	1499
54	3247	1750
55	3247	1750
56	4247	1752
57	3249	1749
58	3248	1749
59	2998	2999
60	3747	1501
61	3248	1749
62	3247	1750
63	3993	1506
64	3502	1747
65	2997	1500
66	3497	2750
67	3250	1494
68	3497	1751
69	2996	2002
70	4246	1754
71	3000	1750
72	3497	1749
73	3497	2249
74	2999	1998
75	3244	1506
76	3252	1500
77	4496	1750
78	2998	1749
79	3245	1500
80	3749	2500
81	3247	1751
82	3249	2000
83	3247	2001
84	4249	1749
85	3000	1746
86	3243	1750
87	3745	2512
88	3003	1499
89	3496	1505
90	3246	1750
91	3996	2000
92	2999	1752
93	3251	1748
94	3251	2493
95	3490	2000
96	3000	1743
97	3259	1739
98	4235	1504
99	3497	1999
100	2999	1747
101	3248	2750
102	3246	1750
103	3500	1997
104	2995	1498
105	4243	1746
106	3009	1746
107	3241	1505
108	3747	2249
109	3247	1998
110	2996	1761
111	3502	1998
112	4244	1751
113	2998	1750
114	3248	1498
115	3753	2747
116	3247	1746
117	3243	1514
118	3249	1999
119	4254	1996
120	3237	1758
121	3497	1753
122	3498	2501
123	3002	1755
124	3494	1502
125	3005	1494
126	4235	1749
127	3262	1996
128	3249	1743
129	3489	2252
130	3248	2000
131	3247	1502
132	3247	1510
133	4248	1750
134	3252	1746
135	3243	1751
136	3496	2759
137	3250	1749
138	3497	2005
139	2998	2001
140	4246	1750
141	3256	1994
142	2991	1750
143	3745	2252
144	3000	1495
145	3246	1747
146	3507	2246
147	4246	1994
148	3243	1998
149	3245	1499
150	3755	2493
151	3242	1504
152	3247	1749
153	3247	1749
154	4245	1760
155	3002	1997
156	3492	1766
157	3253	2498
158	3246	1749
159	3257	1492
160	3238	1756
161	4247	2000
162	3248	1999
163	3248	1759
164	3497	2256
165	3249	1999
166	3246	1500
167	3249	1498
168	4247	1747
169	2998	1751
170	3248	1749
171	3747	2247
172	3245	1758
173	2997	1497
174	3500	1750
175	3996	1497
176	3247	1761
177	3000	1500
178	3751	2496
179	3243	1750
180	2998	1750
181	3247	1760
182	4247	1760
183	3249	1749
184	3246	1751
185	3250	2991
186	3743	1757
187	3009	1743
188	3240	2001
189	3994	1750
190	3508	1745
191	3240	1755
192	3247	2500
193	3248	1498
194	3247	1506
195	3251	1748
196	4244	1747
197	2998	1747
198	3499	1744
199	3501	2495
200	2993	1753
201	3246	1503
202	3500	2004
203	3995	1508
204	3011	1740
205	3242	1746
206	2993	2999
207	3746	1750
208	3005	1744
209	3241	1757
210	4248	1749
211	3247	1748
212	3246	1511
213	3001	2748
214	3502	1745
215	3492	1749
216	2996	1746
217	3999	2000
218	2999	1755
219	3241	1754
220	3254	2747
221	3494	1510
222	3001	1744
223	3242	1759
224	4250	1748
225	3499	2247
226	3005	2243
227	3242	2748
228	3245	1500
229	3497	2000
230	3000	2006
231	4244	1753
232	3003	1746
233	3243	1749
234	3747	2248
235	3005	1745
236	3241	1757
237	3498	2002
238	3996	1999
239	2996	1511
240	3251	1749
241	3254	2495
242	3491	1999
243	2997	1500
244	3249	1755
245	4247	1507
246	3499	1995
247	3004	1494
248	3490	2499
249	3250	1745
250	3245	2003
251	3000	1497
252	4493	1751
253	3258	1750
254	3243	2003
255	2996	2749
256	3496	1999
257	3247	1512
258	3251	2000
259	3996	1750
260	3248	1749
261	3247	1750
262	3502	2496
263	3244	1756
264	3248	1749
265	3496	2251
266	3994	1509
267	3252	1762
268	3253	2000
269	3492	2502
270	3248	1748
271	3256	1993
272	3248	1746
273	3740	1748
274	3494	1511
275	2998	1510
276	3248	2997
277	3496	1769
278	3254	1498
279	3244	1762
280	4251	1748
281	2998	1509
282	3497	1999
283	4745	1512
284	3259	1741
285	3240	1747
286	3252	2743
287	3490	1750
288	2998	1761
289	3251	1747
290	4242	1763
291	3000	1999
292	3496	1748
293	3015	2484
294	3231	2006
295	3249	1761
296	2998	1498
297	3991	1750
298	3494	1749
299	3262	1740
300	2997	3249
301	3993	1743
302	3255	1743
303	2990	1755
304	3997	1754
305	3249	1500
306	3254	1986
307	3507	2485
308	3233	1750
309	3247	1749
310	3246	1761
311	4248	1757
312	2999	1751
313	3497	1749
314	3495	2502
315	2999	2006
316	3498	1752
317	2998	1499
318	4495	1760
319	3000	1501
320	3252	1498
321	3742	2499
322	3261	1749
323	3236	1499
324	3245	1499
325	4247	1746
326	3243	1764
327	3254	1499
328	3500	2248
329	2994	1500
330	3249	1749
331	3504	1996
332	3991	2000
333	3007	1991
334	3237	1750
335	3259	2739
336	3488	1995
337	3237	1760
338	3269	1489
339	3979	1507
340	3515	1995
341	2987	1999
342	3249	2499
343	3245	1759
344	3250	1748
345	3258	1489
346	4235	1750
347	3257	2000
348	2991	1499
349	3748	2249
350	2996	1749
351	3247	1500
352	3511	1990
353	3994	1990
354	2988	1752
355	3247	1749
356	3255	2746
357	3492	1753
358	2997	1749
359	3241	1746
360	3997	1746
361	3249	1500
362	3491	1999
363	2996	2518
364	3260	1503
365	3250	1747
366	3497	2011
367	3988	1513
368	3007	1512
369	3249	1750
370	3746	2240
371	3009	1493
372	3238	1749
373	3251	1750
374	3995	1747
375	3492	1766
376	2998	1503
377	3251	2989
378	3745	1750
379	2999	1496
380	3246	1998
381	4249	1750
382	3246	1752
383	3249	1499
384	3246	2498
385	3249	1758
386	3246	1494
387	3240	1752
388	4247	1749
389	3247	2000
390	2999	1755
391	3764	2244
392	3241	2000
393	3248	1749
394	3247	1750
395	3998	1500
396	2997	1500
397	3244	1746
398	3253	2754
399	3499	1496
400	3248	1746
401	3243	2000
402	4250	1749
403	3249	1752
404	2994	1500
405	3252	2997
406	3745	1999
407	3001	1498
408	3245	1750
409	4246	2001
410	2999	1500
411	3499	1999
412	3495	2749
413	3249	1499
414	3496	1751
415	2999	2001
416	4236	1751
417	2998	1505
418	3503	2001
419	4499	2007
420	2750	1749
421	2996	1751
422	3248	3003
423	3748	1751
424	3248	1999
425	3508	1743
426	3988	1507
427	3240	1755
428	3255	1749
429	3495	2503
430	3249	2003
431	3244	2003
432	2994	1503
433	4503	1750
434	2996	1509
435	3258	1747
436	3250	2752
437	3490	1750
438	3247	1752
439	2997	2011
440	4248	1755
441	2998	2011
442	3498	1500
443	3495	2513
444	3001	2003
445	3497	1499
446	3247	1757
447	3995	2010
448	3250	1761
449	3248	1750
450	3496	2509
451	3247	1760
452	3249	1499
453	3502	2250
454	4244	1743
455	3241	1766
456	3253	1746
457	4486	1763
458	3255	1497
459	3499	2010
460	2996	2496
461	3242	1748
462	2998	1750
463	3247	1498
464	3997	1502
465	3501	1497
466	2996	1499
467	3246	2498
468	3252	1747
469	3244	1503
470	3248	1749
471	4247	1749
472	3252	1745
473	3251	1750
474	3497	2755
475	3252	1501
476	3497	2013
477	3247	1753
478	3998	1750
479	3008	1486
480	3237	1759
481	3744	2258
482	3000	1752
483	3248	1750
484	3499	2002
485	3996	1502
486	3009	1492
487	3233	1252
488	3270	2724
489	3469	1752
490	3000	1504
491	3266	1742
492	4237	1751
493	3507	1995
494	2991	1749
495	2997	2501
496	3248	2000
497	3247	1502
498	3505	1744
499	3989	2000
500	2998	1510
501	3248	1752
502	3249	2510
503	3246	1500
504	3248	1500
505	3237	1769
506	4008	1750
507	3252	1505
508	3493	2000
509	3247	2759
510	3245	1753
511	3501	1998
512	2997	1502
513	4248	1748
514	3249	1756
515	3249	1749
516	3493	2509
517	3250	1742
518	3000	1754
519	3495	1759
520	4745	1751
521	3749	1748
522	3254	1494
523	4746	1994
524	2991	2000
525	3499	1758
526	3005	2990
527	3493	1746
528	3500	1743
529	2991	1497
530	4245	1756
531	3000	1749
532	2997	1494
533	3758	2490
534	3235	1762
535	3002	1506
536	3247	1500
537	3996	1763
538	3497	2001
539	3249	1749
540	3008	2492
541	3236	2000
542	3248	1749
543	3245	1750
544	4001	1494
545	3247	1750
546	2997	1499
547	3242	2756
548	3506	1497
549	3243	1761
550	2998	1499
551	4254	1745
552	2999	1749
553	3490	1998
554	3500	2495
555	2993	1761
556	3497	2004
557	3001	1499
558	4245	1744
559	3247	2003
560	3251	1503
561	3495	2499
562	3252	1994
563	2993	1755
564	3508	1744
565	4237	1751
566	3004	1741
567	2990	1749
568	3259	2739
569	3490	1498
570	3244	1750
571	3258	1741
572	4239	1749
573	3255	1742
574	3241	1497
575	2995	2999
576	3494	1508
577	3502	1747
578	3008	1741
579	4235	1759
580	2996	1755
581	3255	1498
582	3745	2246
583	3249	1494
584	3249	1749
585	3248	1749
586	4244	1747
587	2992	1754
588	3253	1500
