#signal	response time
0	1272
1	1732
2	1928
3	1421
4	2175
5	1425
6	2427
7	1428
8	2421
9	1424
10	2423
11	1676
12	2174
13	1430
14	1926
15	1675
16	1925
17	1422
18	2421
19	1429
20	2189
21	1441
22	2682
23	1477
24	2177
25	1431
26	1926
27	1686
28	1936
29	1419
30	2431
31	1433
32	2426
33	1422
34	2430
35	1433
36	2181
37	1672
38	2425
39	1430
40	2173
41	1685
42	2428
43	1426
44	2436
45	1431
46	2170
47	1436
48	2419
49	1431
50	2178
51	1678
52	1933
53	1416
54	2427
55	1431
56	2173
57	1427
58	1930
59	1676
60	1679
61	1446
62	1913
63	1678
64	1932
65	1421
66	2179
67	1426
68	1923
69	1671
70	2192
71	1660
72	1687
73	1432
74	2175
75	1675
76	2186
77	1670
78	1668
79	1449
80	1423
81	2190
82	1429
83	1669
84	1676
85	1938
86	1449
87	2436
88	1420
89	2188
90	1413
91	2679
92	1425
93	2178
94	1428
95	1927
96	1683
97	1940
98	1412
99	2188
100	1405
101	1924
102	1677
103	1712
104	1405
105	2225
106	1676
107	1966
108	1429
109	2195
110	1424
111	2191
112	1420
113	2172
114	1688
115	1915
116	1433
117	2172
118	1428
119	1429
120	1429
121	1664
122	2179
123	1676
124	1931
125	1421
126	2182
127	1420
128	2175
129	1676
130	1451
131	1697
132	1434
133	1927
134	1435
135	2450
136	1420
137	2208
138	1432
139	1901
140	1692
141	1685
142	1412
143	1911
144	1442
145	2203
146	1428
147	2428
148	2175
149	1679
150	1670
151	1413
152	2195
153	1455
154	1695
155	1431
156	1917
157	1433
158	2175
159	1419
160	2189
161	1456
162	2183
163	1673
164	1920
165	1427
166	2177
167	1659
